,star_names,distances,masses,radius1,luminosity,Unnamed,star_name,distance,mass,radius

0,Sun,0.000015813,1,1,1,0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999

1,Sirius,0008.6,2.1,1.71´,25.4,1,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998

2,Canopus,0310,15,71,"13,500",3,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001

3,Alpha Centauri,0004.4,1.1,1.2,2,5,5,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998

4,Arcturus,0037,1.1,26,170,7,7,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999

5,Vega,0025,2.2,2.7,50,8,8,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998

6,Capella,0043,2.6,12,150,9,9,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998

7,Rigel,0860,23,78.9,"120,000",10,10,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998

8,Procyon,0011.4,1.5,1.9,7.7,11,11,2MASSW J0045214+163445,57.0,0.021955524,0.16647606

9,Betelgeuse,0640[1],20,950,"60,000",12,12,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999

10,Achernar,0144,6.7,9.3,"3,000",13,13,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998

11,Hadar,0390,10.5,8.6,"42,000",15,15,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998

12,Altair,0017,1.8,1.8,10.5,17,17,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999

13,Acrux,0320,18,8.9,"25,000",18,18,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999

14,Aldebaran,0065,1.5,44,520,19,19,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606

15,Antares,0600,12,680,"75,000",20,20,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843

16,Spica,0260,11.43,7.47,"20,512",21,21,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999

17,Pollux,0034,1.9,8.8,43,25,25,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999

18,Fomalhaut,0025,1.9,1.8,16.6,26,26,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739

19,Deneb,"2,600",19,203,"200,000",27,27,2MASS J02340093-6442068,155.0,0.01909176,0.16647606

20,Mimosa,0350,16,8.4,"34,000",28,28,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998

21,Regulus,0077,3.8,3.1,290,29,29,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999

22,Adhara,0430,12.5,14,"39,000",30,30,LP 771-21,53.0,0.074457864,0.11098404

23,Shaula,0700,14.5,8.8,"36,000",32,32,Teegarden's star,12.578,0.07636704,0.13050900999999998

24,Castor,0052,2.8,2.4,30,33,33,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997

25,Gacrux,0088,1.5,84,820,34,34,WISE J0254+0223,24.0,0.06204822,0.19524969999999997

26,Bellatrix,0240,8.6,5.8,"9,200",35,35,DEN 0255-4700,16.2,0.07636704,0.09968010999999999

27,Elnath,0130,5.0,4.2,700,36,36,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999

28,Miaplacidus,0110,3.5,6.8,290,37,37,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999

29,Alnilam,"2,000",32,42,"380,000",38,38,2MASS J03231002-4631237,192.0,0.021955524,0.17058658

30,Gamma Velorum,"01,100",9.0,6,"170,000",39,39,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999

31,Alnair,0101,4.0,3.4,260,40,40,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999

32,Alioth,0081,2.9,4.2,110,41,41,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999

33,Alnitak,01050,33,20,"120,000",42,42,2MASS J03341218-4953322,27.0,0.069684924,0.10687352

34,Dubhe,0120,4.25,30,300,43,43,LP 944-20,20.9,0.069684924,0.14695108999999998

